[2019-07-27 16:21:38] Downloading update (213,144 of 350,762 KB)...
[2019-07-27 16:21:39] Downloading update (214,297 of 350,762 KB)...
[2019-07-27 16:21:39] Downloading update (215,451 of 350,762 KB)...
[2019-07-27 16:21:39] Downloading update (216,621 of 350,762 KB)...
[2019-07-27 16:21:39] Downloading update (217,802 of 350,762 KB)...
[2019-07-27 16:21:40] Downloading update (218,992 of 350,762 KB)...
[2019-07-27 16:21:40] Downloading update (220,187 of 350,762 KB)...
[2019-07-27 16:21:40] Downloading update (221,382 of 350,762 KB)...
[2019-07-27 16:21:40] Downloading update (222,485 of 350,762 KB)...
[2019-07-27 16:21:41] Downloading update (224,448 of 350,762 KB)...
[2019-07-27 16:21:41] Downloading update (225,685 of 350,762 KB)...
[2019-07-27 16:21:41] Downloading update (226,799 of 350,762 KB)...
[2019-07-27 16:21:41] Downloading update (228,036 of 350,762 KB)...
[2019-07-27 16:21:42] Downloading update (229,274 of 350,762 KB)...
[2019-07-27 16:21:42] Downloading update (230,541 of 350,762 KB)...
[2019-07-27 16:21:42] Downloading update (231,821 of 350,762 KB)...
[2019-07-27 16:21:42] Downloading update (233,100 of 350,762 KB)...
[2019-07-27 16:21:43] Downloading update (234,380 of 350,762 KB)...
[2019-07-27 16:21:43] Downloading update (235,660 of 350,762 KB)...
[2019-07-27 16:21:43] Downloading update (236,953 of 350,762 KB)...
[2019-07-27 16:21:43] Downloading update (238,132 of 350,762 KB)...
[2019-07-27 16:21:44] Downloading update (239,265 of 350,762 KB)...
[2019-07-27 16:21:44] Downloading update (240,334 of 350,762 KB)...
[2019-07-27 16:21:44] Downloading update (241,403 of 350,762 KB)...
[2019-07-27 16:21:44] Downloading update (242,472 of 350,762 KB)...
[2019-07-27 16:21:45] Downloading update (243,546 of 350,762 KB)...
[2019-07-27 16:21:45] Downloading update (244,629 of 350,762 KB)...
[2019-07-27 16:21:45] Downloading update (245,712 of 350,762 KB)...
[2019-07-27 16:21:45] Downloading update (246,801 of 350,762 KB)...
[2019-07-27 16:21:46] Downloading update (247,789 of 350,762 KB)...
[2019-07-27 16:21:46] Downloading update (248,892 of 350,762 KB)...
